language_code,language_name,voice_type,voice_code,voice_gender
en-US,English (United States),Neural,en-US-1,Female
en-US,English (United States),Neural,en-US-2,Female
en-US,English (United States),Neural,en-US-3,Male
en-US,English (United States),Neural,en-US-4,Female
en-US,English (United States),Neural,en-US-5,Female
en-US,English (United States),Neural,en-US-6,Female
en-US,English (United States),Neural,en-US-7,Female
en-US,English (United States),Neural,en-US-8,Male
en-US,English (United States),Neural,en-US-9,Male
en-US,English (United States),Neural,en-US-10,Female
en-US,English (United States),Neural,en-US-11,Female
en-US,English (United States),Neural,en-US-12,Male
en-US,English (United States),Neural,en-US-13,Male
en-US,English (United States),Neural,en-US-14,Female
en-US,English (United States),Neural,en-US-15,Female
en-US,English (United States),Neural,en-US-16,Female
en-US,English (United States),Standard,en-US-17,Female
en-US,English (United States),Standard,en-US-18,Male
en-US,English (United States),Standard,en-US-19,Male
en-US,English (United States),Standard,en-US-20,Female
